author,text,hashtags,likes,retweets,replies,created_at,url
Hasan,#CHILLGUY,#CHILLGUY,4,17,4,2025-06-01T22:11:43.000Z,https://x.com/TradebyHasan/status/1929299850589503989
Getz | Tigerroulade,just a  chill guy #sampo #sampokoski #hsr,"#sampo,#sampokoski,#hsr",8,553,8,2025-05-29T22:51:20.000Z,https://x.com/getsu_bragin/status/1928222655435407699
WIZZ ( beware scammers ),"#chillguy  next days

Gn friends",#chillguy,146,67,146,2025-06-01T22:03:07.000Z,https://x.com/CryptoWizardd/status/1929297685506367987
TOMMY.CRYPTO,Gm  #chillguy,#chillguy,7,6,7,2025-06-01T09:33:28.000Z,https://x.com/tommydotcrypto/status/1929109031383192057
KNIGHT,#chillguy,#chillguy,19,22,19,2025-06-01T16:03:41.000Z,https://x.com/cryptoknight890/status/1929207230529724451
RawG,I have fun posting about  Chillguy  because it's so easy to be confident in.  I honestly think everyone who buys here will make a lot of money eventually if they hold.  I have no problems saying that.,,1,19,1,2025-05-31T19:31:30.000Z,https://x.com/Raughg/status/1928897141008707606
KNIGHT,#chillguy,#chillguy,27,17,27,2025-05-27T07:20:28.000Z,https://x.com/cryptoknight890/status/1927263621865742411
TOMMY.CRYPTO,Time for a reverse….?! #chillguy,#chillguy,13,17,13,2025-06-01T16:31:10.000Z,https://x.com/tommydotcrypto/status/1929214147553579435
NFTKhaoz,It’s a pretty  #Chillguy  weekend and not much going on so just holding for next week ,#Chillguy,5,10,5,2025-06-01T04:30:18.000Z,https://x.com/NftKhaoz/status/1929032735009513568
Maru ||,*drawing the face of his  * : i think i might make this a little sleepy. cause  's eyes are a little droopy half of the time. just got a  chill  vibe. he's just a  chill guy . he lowkey don't gaf : *happy noises* #kaeflix #zealginjoka,"#kaeflix,#zealginjoka",405,405,0,2025-05-25T01:12:35.000Z,https://x.com/shenmaruu/status/1926446263446253717
0xDarius,"chillguy  is official now.

organizations starting to get the message.",,67,136,67,2024-12-01T18:38:17.000Z,https://x.com/0x_Darius/status/1863291544805036172
chill guy | fan page,just a  chill guy  who just cant hear very well,,4,43,4,2024-12-18T10:14:02.000Z,https://x.com/chillguyx/status/1869325239307362428
Crypto Bull ( Until 5th Sep 2025 ),I bought a  #chillguy  T-shirt today and it looks so cool  And insta longed the token here  Aiming for $0.25 in coming days ,#chillguy,40,9,40,2025-06-01T22:16:45.000Z,https://x.com/holdersignals/status/1929301115960525057
Giro d'Italia, Just a  chill guy ... #GirodItalia  |  @EFprocycling,#GirodItalia,31,122,31,2025-05-22T12:01:43.000Z,https://x.com/giroditalia/status/1925522460335603845
Chill guy,GM everyone ,,4,0,4,2025-06-01T20:09:17.000Z,https://x.com/guy_chill97758/status/1929269038842081598
just a chill guy | fan page,it turns out that the  guy  is still  chill .,,27,67,27,2025-02-27T00:18:13.000Z,https://x.com/chillguycto/status/1894904838061695433
chill guy | fan page,"Was over stressing over some shit I have no control of, then remembered I’m just a  chill guy",,32,126,32,2024-11-22T14:35:18.000Z,https://x.com/chillguyx/status/1859968905865052182
KNIGHT,#chillguy  looking forq 0.05$ for a bounce,#chillguy,10,8,10,2025-05-31T10:49:10.000Z,https://x.com/cryptoknight890/status/1928765694625104009
Joanna Fowler,My son is a  #Chillguy .,#Chillguy,5,7,5,2025-05-31T22:29:31.000Z,https://x.com/fowler_joa10070/status/1928941939790921888
joseph quinn’s sexy stylist,he’s just a  chill guy,,28,28,0,2025-06-01T03:12:00.000Z,https://x.com/whoreforjoequin/status/1929013028801954060
Kevin,"Ive been offline all day. But now I feel like trying this on $ CHILLGUY  
IT's weekend so 0.5% risk",,3,16,3,2025-06-01T17:37:47.000Z,https://x.com/TradelikeKevin/status/1929230912077627700
just a chill guy | fan page,did santa's chillest helper get you the gift you wanted?,,42,85,42,2024-12-25T22:35:02.000Z,https://x.com/chillguycto/status/1872048433072087492
Justpit,"Once market will rip hard, this one goes to $0.15-$0.2 #CHILLGUY",#CHILLGUY,2,21,2,2025-05-29T08:49:16.000Z,https://x.com/Justpit5/status/1928010742436941900
RawG,"James Wynn made his money from holding memes like pepe.  Then he lost it all with leverage.  What's the lesson?

hold blue chip meme.  stay away from leverage. Chillguy",,2,13,2,2025-05-31T14:12:49.000Z,https://x.com/Raughg/status/1928816942535610538
Gibbs,Engagement.  #ChillGuy,#ChillGuy,6,13,6,2025-06-01T19:23:27.000Z,https://x.com/CryptoGibbs28/status/1929257502514073808
JTMX,When the meme isn’t loved but I’m lowkey just a  chill guy,,25,112,25,2024-11-27T21:28:17.000Z,https://x.com/JTMX080626/status/1861884775063240975
just a chill guy | fan page,just a  chill guy  who can never have enough coins.,,53,94,53,2025-01-16T10:02:34.000Z,https://x.com/chillguycto/status/1879831602903371973
scout,chill guy #bullseye,#bullseye,5,73,5,2025-05-29T18:39:02.000Z,https://x.com/Grimiio/status/1928159162032123968
just a chill guy | fan page,just a  chill guy  doing some last minute Christmas gift shopping.,,30,86,30,2024-12-24T15:37:03.000Z,https://x.com/chillguycto/status/1871580856642593198
Danny André,#chillguy #SOL #memecoins  Looking super bullish ,"#chillguy,#SOL,#memecoins",9,24,9,2025-05-24T17:33:31.000Z,https://x.com/signalwolf1/status/1926330736761536787
·,chilling listening to music being a cute  chill guy #chillguythings,#chillguythings,47,47,0,2025-04-27T19:12:23.000Z,https://x.com/juyomifan/status/1916571145689616632
