author,text,hashtags,likes,retweets,replies,views,created_at,url
Fazt0x,$dilip  reminds me of the early hours of  chillguy,,0,0,0,0,2025-06-02T16:20:37.000Z,https://x.com/fazt0x/status/1929573881087418609
9 4 7 S C,$1+ before September #CHILLGUY,#CHILLGUY,63,20,7,1418,2025-06-02T19:27:54.000Z,https://x.com/947SC/status/1929621011592310977
bryan mbuemo,Chill guy #bryanmbuemo #BrentfordFC,"#bryanmbuemo,#BrentfordFC",29642,1142,236,924982,2025-06-02T16:17:46.000Z,https://x.com/b_mbuemo/status/1929573164658430395
vie (),just a little  chill guy #seiblue,#seiblue,3369,569,5,26237,2025-06-02T10:06:52.000Z,https://x.com/qnnevierre/status/1929479821647618392
KNIGHT,#chillguy,#chillguy,85,18,3,4891,2025-06-02T13:14:17.000Z,https://x.com/cryptoknight890/status/1929526988957434320
Hasan,#CHILLGUY,#CHILLGUY,135,22,7,7260,2025-06-01T22:11:43.000Z,https://x.com/TradebyHasan/status/1929299850589503989
Penguin,"#chillguy  will be over $1 soon, there is no doubt.",#chillguy,0,0,0,0,2025-06-02T22:18:01.000Z,https://x.com/PenguinOffisial/status/1929663821464961463
SkyV,#CHILLGUY  doesnt  chill  anytime soon ,#CHILLGUY,86,20,9,2223,2025-06-01T21:58:16.000Z,https://x.com/SkyV_KCG/status/1929296465425318314
crypto jedi,"#Chillguy  is so deeply rooted into our culture 

I see it all over other platforms used in the same way people use Pepe 

I see it in adds and I see it in random videos I see it in sports it’s everywhere still 

Here’s a few I’ve seen posted in the past week  #chillguy  to $10","#Chillguy,#chillguy",79,19,2,1207,2025-06-02T14:38:14.000Z,https://x.com/JediMasterct/status/1929548115180134735
greedisgood,The hate  Chillguy  is getting is very sad because it’s not enough,,18,3,2,436,2025-06-02T18:23:06.000Z,https://x.com/greedisgoodbruh/status/1929604703647674541
chill guy | fan page,just a  chill guy  writing down his goals for 2025.,,2286,380,58,79854,2024-12-27T09:35:01.000Z,https://x.com/chillguyx/status/1872576913383788836
Lubski Chillguy,Just a  #chillguy  chilling to chillions,#chillguy,0,0,0,0,2025-06-01T13:32:29.000Z,https://x.com/Lubski_chills/status/1929169181422809289
Gibbs,Bull-post.  #ChillGuy,#ChillGuy,75,16,4,842,2025-06-02T14:58:49.000Z,https://x.com/CryptoGibbs28/status/1929553295326289952
RawG,"Us chillguys have respect for moo deng a fellow sol meme.  

Previous to moo dengs binance alpha announcement  chillguy  was steadily gaining on moo deng.  I am curious to see if it will continue this trend post binance alpha listing.",,0,0,0,0,2025-06-02T21:25:23.000Z,https://x.com/Raughg/status/1929650577426075838
krish,Chill guy  is basically a cartoonised version of Kevin James,,6555,717,34,209622,2024-11-20T08:14:12.000Z,https://x.com/0xkrishb/status/1859148225791619346
Penguin,#chillguy  will likely hit $0.50 this month.,#chillguy,119,21,13,4807,2025-06-02T02:41:02.000Z,https://x.com/PenguinOffisial/status/1929367626142150787
Crypto GVR,Just opened  #chillguy  long  Do or Die trade,#chillguy,212,32,40,42306,2025-06-02T12:42:07.000Z,https://x.com/GVRCALLS/status/1929518891627356419
TOMMY.CRYPTO,"Never underestimate the  chillguy  power.

Sometimes it pumps when markets are uncertain.",,87,18,6,1566,2025-06-02T13:11:07.000Z,https://x.com/tommydotcrypto/status/1929526191838359793
stayuma.meowracha,Chill guy  Han  #StrayKids #han,"#StrayKids,#han",0,0,0,0,2025-05-29T00:54:29.000Z,https://x.com/Stayuma_meow/status/1927891261761147346
homophobic griefkiddo (comms full),you can say im just a  chill guy,,923,143,6,10819,2025-05-28T02:16:07.000Z,https://x.com/xGOREGHOULx/status/1927549414425395461
Exit Liquidity,"#chillguy   example of 0.5 trading

the projection too the upside is just an illustration if ""btc"" would set the conditions to do.

key here is: it doesnt stopped randomly.

and this could be a scalp trade on itself no matter of the H4 trend will change #chillguy #chillguy","#chillguy,#chillguy,#chillguy",49,9,2,1228,2025-06-02T13:41:28.000Z,https://x.com/Eexitliquidity/status/1929533830597165237
chill guy | fan page,"when everything is not alright, but you're just a  chill guy .",,846,167,38,37835,2024-12-06T04:30:02.000Z,https://x.com/chillguyx/status/1864890015869710427
𝘣𝘦𝘺𝘻𝘢⡡,profesör =  chill guy #EşrefRüya,#EşrefRüya,456,24,5,9090,2025-05-26T14:23:08.000Z,https://x.com/yabaniaep/status/1927007598634586437
The Assertive Guy,Peak Men Behaviour  @ElvishYadav #ElvishYadav #ElvishArmy,"#ElvishYadav,#ElvishArmy",1966,337,8,58458,2025-05-26T09:36:23.000Z,https://x.com/SabChillHaiBro/status/1926935436498227417
nebby/ray *ੈ✩‧₊˚,I love grumpy short  guy  and lowkey  chill  tall  guy  duos (solkat art is by beescake on tumblr btw ),,0,0,0,0,2025-06-01T04:04:47.000Z,https://x.com/nebbyray/status/1929026315669123525
MIRAI,"chilling into the ai world with  @chillguycto  

rendering  chillguy  into 3D, publicly usable  wherever. 

more to come ",,203,51,29,15835,2025-06-02T15:07:48.000Z,https://x.com/Mirai_terminal/status/1929555553728049168
Justpit,#CHILLGUY  tic toc ,#CHILLGUY,116,25,15,3316,2025-06-02T06:57:27.000Z,https://x.com/Justpit5/status/1929432155395953039
just a chill guy | fan page,it turns out that the  guy  is still  chill .,,387,67,27,13104,2025-02-27T00:18:13.000Z,https://x.com/chillguycto/status/1894904838061695433
"Wizard Of SoHo (,)",Chill guy  is bullish for men’s mental health,,910,128,55,94607,2024-11-19T15:27:26.000Z,https://x.com/wizardofsoho/status/1858894861161623833
Gibbs,Engagement.  #ChillGuy,#ChillGuy,100,15,6,1745,2025-06-01T19:23:27.000Z,https://x.com/CryptoGibbs28/status/1929257502514073808
chill guy | fan page,just a  chill guy  stepping through the snow.,,399,32,8,13040,2025-01-03T00:02:02.000Z,https://x.com/chillguyx/status/1874969430746087630
Crypto Analyst,$ chillguy  will pump 60-80% soon.,,72,11,20,3359,2025-05-27T21:16:35.000Z,https://x.com/CryptoA40672341/status/1927474034461073873
KNIGHT,#chillguy,#chillguy,147,17,27,10014,2025-05-27T07:20:28.000Z,https://x.com/cryptoknight890/status/1927263621865742411
